org_a,locus_a,org_b,locus_b,identity
abaylyi,ACIAD1650,styphimurium,cobB,0.457
abaylyi,ACIAD1650,mtuberculosis,Rv1151c,0.385
abaylyi,ACIAD2102,styphimurium,hrpA,0.422
mgenitalium,MG_129,mpne,MPN268,0.62
mpne,MPN302,syn3a,JCVISYN3A_0220,0.399
mpne,MPN302,saureus,pfk,0.385
mpne,MPN302,mtuberculosis,Rv3010c,0.332
ccrescentus,CCNA_03802,mtuberculosis,Rv0457c,0.42
abaylyi,ACIAD1062,mtuberculosis,Rv2984,0.406
abaylyi,ACIAD0079,ccrescentus,CCNA_01199,0.622
ccrescentus,CCNA_01199,mtuberculosis,Rv0334,0.62
ccrescentus,CCNA_01590,saureus,lig,0.367
ccrescentus,CCNA_01590,mtuberculosis,Rv3014c,0.36
ccrescentus,CCNA_01590,syn3a,JCVISYN3A_0690,0.312
abaylyi,ACIAD1022,saureus,butA,0.47
saureus,SA0342,styphimurium,yqeF,0.525
abaylyi,ACIAD2516,saureus,SA0342,0.446
mtuberculosis,Rv1323,saureus,SA0342,0.449
abaylyi,ACIAD3460,saureus,SA1987,0.406
mtuberculosis,Rv1063c,styphimurium,ychK,0.306
abaylyi,ACIAD2965,styphimurium,ychK,0.34
mtuberculosis,Rv3663c,styphimurium,yejF,0.422
mtuberculosis,Rv3490,styphimurium,otsA,0.34
abaylyi,ACIAD1774,mtuberculosis,Rv3490,0.315
styphimurium,csdA,syn3a,JCVISYN3A_0441,0.338
abaylyi,ACIAD3244,styphimurium,yrbF,0.59
mtuberculosis,Rv0655,styphimurium,yrbF,0.381
mtuberculosis,Rv1781c,styphimurium,malQ,0.331
abaylyi,ACIAD2589,styphimurium,yceG,0.444
ccrescentus,CCNA_01751,styphimurium,yceG,0.325
mtuberculosis,Rv1323,styphimurium,yqeF,0.449
abaylyi,ACIAD1130,styphimurium,yraL,0.525
abaylyi,ACIAD1130,saureus,SA0447,0.434
abaylyi,ACIAD1130,syn3a,JCVISYN3A_0504,0.311
saureus,lytR,styphimurium,yehT,0.313
abaylyi,ACIAD1903,mtuberculosis,Rv0865,0.316
mtuberculosis,Rv0865,styphimurium,mog,0.355
saureus,SA0984,syn3a,JCVISYN3A_0448,0.374
abaylyi,ACIAD2626,syn3a,JCVISYN3A_0448,0.31
mgenitalium,MG_222,syn3a,JCVISYN3A_0524,0.433
abaylyi,ACIAD3368,syn3a,JCVISYN3A_0524,0.386
ccrescentus,CCNA_02645,syn3a,JCVISYN3A_0524,0.377
mpne,MPN380,syn3a,JCVISYN3A_0610,0.389
mgenitalium,MG_498,syn3a,JCVISYN3A_0610,0.386
styphimurium,mutM,syn3a,JCVISYN3A_0610,0.329
saureus,SA1512,syn3a,JCVISYN3A_0610,0.332
saureus,argF,styphimurium,STM4465,0.604
mtuberculosis,Rv1656,styphimurium,STM4465,0.374
abaylyi,ACIAD2001,saureus,eno,0.6
abaylyi,ACIAD2001,mpne,MPN606,0.553
abaylyi,ACIAD2001,mgenitalium,MG_407,0.533
abaylyi,ACIAD2078,styphimurium,purT,0.57
ccrescentus,CCNA_02727,saureus,phoH,0.512
ccrescentus,CCNA_02757,styphimurium,sfsA,0.409
ccrescentus,CCNA_03138,mtuberculosis,Rv1908c,0.617
abaylyi,ACIAD1058,saureus,SA0192,0.439
mgenitalium,MG_526,saureus,SA0192,0.413
ccrescentus,CCNA_01399,saureus,nrgA,0.361
ccrescentus,CCNA_03721,styphimurium,gltD,0.464
abaylyi,ACIAD3349,ccrescentus,CCNA_03721,0.467
ccrescentus,CCNA_03721,mtuberculosis,Rv3858c,0.397
mtuberculosis,Rv3305c,saureus,SA0507,0.362
ccrescentus,CCNA_02540,mtuberculosis,Rv3305c,0.332
ccrescentus,CCNA_03402,mtuberculosis,Rv3777,0.452
abaylyi,ACIAD1743,mtuberculosis,Rv3777,0.393
saureus,dra,styphimurium,deoC,0.336
abaylyi,ACIAD0070,styphimurium,wza,0.303
ccrescentus,CCNA_00800,mtuberculosis,Rv1623c,0.358
mtuberculosis,Rv1623c,styphimurium,STM1792,0.352
abaylyi,ACIAD2290,mtuberculosis,Rv1623c,0.348
mtuberculosis,Rv2902c,styphimurium,rnhB,0.483
ccrescentus,CCNA_00383,mtuberculosis,Rv2902c,0.455
abaylyi,ACIAD1248,mtuberculosis,Rv2902c,0.454
abaylyi,ACIAD0561,styphimurium,gcpE,0.619
ccrescentus,CCNA_00894,styphimurium,gcpE,0.573
mtuberculosis,Rv2868c,styphimurium,gcpE,0.463
ccrescentus,CCNA_02483,saureus,SA0226,0.323
mtuberculosis,Rv0166,saureus,SA0226,0.318
abaylyi,ACIAD2352,saureus,ung,0.528
mpne,MPN235,saureus,ung,0.328
mtuberculosis,Rv2589,styphimurium,gabT,0.418
abaylyi,ACIAD3446,mtuberculosis,Rv2589,0.424
mtuberculosis,Rv2589,saureus,SA2397,0.325
ccrescentus,CCNA_01506,styphimurium,yecC,0.631
ccrescentus,CCNA_01506,saureus,SA2200,0.539
abaylyi,ACIAD1931,saureus,SA2411,0.491
mpne,MPN057,styphimurium,potI,0.305
mgenitalium,MG_113,mpne,MPN252,0.692
mpne,MPN252,styphimurium,asnS,0.406
mgenitalium,MG_321,mpne,MPN456,0.654
abaylyi,ACIAD1151,styphimurium,argG,0.778
ccrescentus,CCNA_00205,styphimurium,yheR,0.459
ccrescentus,CCNA_03179,mtuberculosis,Rv3359,0.308
ccrescentus,CCNA_03179,styphimurium,nemA,0.305
abaylyi,ACIAD2347,styphimurium,rpsA,0.698
ccrescentus,CCNA_03702,styphimurium,rpsA,0.508
saureus,SA1308,styphimurium,rpsA,0.346
saureus,nadE,styphimurium,nadE,0.603
mgenitalium,MG_383,styphimurium,nadE,0.303
abaylyi,ACIAD1417,styphimurium,ydgI,0.538
styphimurium,araH,syn3a,JCVISYN3A_0400,0.354
mtuberculosis,Rv0720,saureus,rplR,0.518
ccrescentus,CCNA_01322,mtuberculosis,Rv0720,0.495
abaylyi,ACIAD3203,mtuberculosis,Rv0720,0.5
mtuberculosis,Rv0720,styphimurium,rplR,0.452
mpne,MPN181,mtuberculosis,Rv0720,0.401
abaylyi,ACIAD2599,styphimurium,dapD,0.73
abaylyi,ACIAD2599,ccrescentus,CCNA_00283,0.663
abaylyi,ACIAD2907,ccrescentus,CCNA_00520,0.569
abaylyi,ACIAD2907,mtuberculosis,Rv1017c,0.434
abaylyi,ACIAD2907,mpne,MPN073,0.418
mgenitalium,MG_177,mpne,MPN191,0.875
mpne,MPN191,mtuberculosis,Rv3457c,0.396
mpne,MPN191,saureus,rpoA,0.347
ccrescentus,CCNA_01330,mpne,MPN191,0.367
abaylyi,ACIAD3194,mpne,MPN191,0.32
mpne,MPN424,saureus,SA1079,0.314
abaylyi,ACIAD3055,styphimurium,thrS,0.622
abaylyi,ACIAD3055,mgenitalium,MG_375,0.309
mgenitalium,MG_056,saureus,SA0447,0.32
mgenitalium,MG_056,syn3a,JCVISYN3A_0504,0.325
mgenitalium,MG_245,mpne,MPN348,0.602
mpne,MPN291,syn3a,JCVISYN3A_0271,0.322
mgenitalium,MG_526,mpne,MPN685,0.82
abaylyi,ACIAD1058,mpne,MPN685,0.399
mpne,MPN685,styphimurium,artP,0.394
ccrescentus,CCNA_02299,mpne,MPN685,0.363
mtuberculosis,Rv1161,styphimurium,narZ,0.471
abaylyi,ACIAD1571,styphimurium,caiD,0.46
abaylyi,ACIAD1571,ccrescentus,CCNA_01794,0.404
abaylyi,ACIAD2052,styphimurium,yebC,0.616
abaylyi,ACIAD2052,ccrescentus,CCNA_03352,0.432
abaylyi,ACIAD2234,styphimurium,mrcB,0.379
abaylyi,ACIAD2053,styphimurium,STM1001,0.344
abaylyi,ACIAD1675,saureus,SA2330,0.301
mpne,MPN430,saureus,gap,0.552
mpne,MPN430,mtuberculosis,Rv1436,0.524
ccrescentus,CCNA_03358,mpne,MPN430,0.432
ccrescentus,CCNA_01086,syn3a,JCVISYN3A_0285,0.558
styphimurium,lepA,syn3a,JCVISYN3A_0285,0.553
abaylyi,ACIAD2584,syn3a,JCVISYN3A_0285,0.544
saureus,clpB,syn3a,JCVISYN3A_0545,0.577
styphimurium,clpB,syn3a,JCVISYN3A_0545,0.548
mgenitalium,MG_355,syn3a,JCVISYN3A_0545,0.523
mtuberculosis,Rv0384c,syn3a,JCVISYN3A_0545,0.525
abaylyi,ACIAD0502,styphimurium,rpmB,0.753
mtuberculosis,Rv2058c,styphimurium,rpmB,0.441
ccrescentus,CCNA_00699,styphimurium,rpmB,0.434
saureus,rpmB,styphimurium,rpmB,0.456
ccrescentus,CCNA_00966,styphimurium,pdxH,0.414
ccrescentus,CCNA_00966,mtuberculosis,Rv2607,0.412
abaylyi,ACIAD3501,ccrescentus,CCNA_00966,0.405
ccrescentus,CCNA_01031,styphimurium,ydfJ,0.393
ccrescentus,CCNA_01319,styphimurium,rpsN,0.495
ccrescentus,CCNA_01880,mtuberculosis,Rv0687,0.361
ccrescentus,CCNA_03413,mtuberculosis,Rv0156,0.38
ccrescentus,CCNA_02535,styphimurium,topA,0.408
ccrescentus,CCNA_00766,styphimurium,pduO,0.428
abaylyi,ACIAD0040,styphimurium,STM2148,0.368
mgenitalium,MG_098,mpne,MPN236,0.72
mgenitalium,MG_003,saureus,gyrB,0.523
mgenitalium,MG_161,mpne,MPN175,0.95
mgenitalium,MG_194,syn3a,JCVISYN3A_0529,0.392
abaylyi,ACIAD3042,mgenitalium,MG_194,0.357
ccrescentus,CCNA_01096,mgenitalium,MG_194,0.326
mgenitalium,MG_445,saureus,trmD,0.48
mgenitalium,MG_445,styphimurium,trmD,0.399
abaylyi,ACIAD3311,mgenitalium,MG_445,0.382
mgenitalium,MG_445,mtuberculosis,Rv2906c,0.383
ccrescentus,CCNA_01983,mtuberculosis,Rv0896,0.571
ccrescentus,CCNA_02113,styphimurium,STM4510,0.363
ccrescentus,CCNA_02178,mtuberculosis,Rv0148,0.476
abaylyi,ACIAD1439,ccrescentus,CCNA_02178,0.331
mgenitalium,MG_190,mpne,MPN140,0.61
mpne,MPN140,syn3a,JCVISYN3A_0139,0.312
mgenitalium,MG_244,mpne,MPN341,0.524
mpne,MPN341,syn3a,JCVISYN3A_0695,0.318
mgenitalium,MG_409,mpne,MPN608,0.751
abaylyi,ACIAD0884,styphimurium,fusA,0.71
styphimurium,fusA,syn3a,JCVISYN3A_0150,0.592
saureus,fus,styphimurium,fusA,0.594
ccrescentus,CCNA_03304,styphimurium,fusA,0.597
mtuberculosis,Rv2216,saureus,SA0724,0.315
abaylyi,ACIAD1372,saureus,smbA,0.457
ccrescentus,CCNA_01332,styphimurium,rplQ,0.617
ccrescentus,CCNA_01332,mtuberculosis,Rv3456c,0.518
ccrescentus,CCNA_01332,mpne,MPN192,0.373
abaylyi,ACIAD3042,ccrescentus,CCNA_01096,0.511
abaylyi,ACIAD3042,syn3a,JCVISYN3A_0529,0.398
ccrescentus,CCNA_01840,mtuberculosis,Rv0465c,0.361
ccrescentus,CCNA_00560,mtuberculosis,Rv1276c,0.302
mtuberculosis,Rv1465,saureus,SA0777,0.368
abaylyi,ACIAD0356,styphimurium,yaiE,0.329
abaylyi,ACIAD0540,mtuberculosis,Rv0408,0.357
abaylyi,ACIAD0822,mtuberculosis,Rv3009c,0.392
ccrescentus,CCNA_03856,styphimurium,mltA,0.306
mtuberculosis,Rv2498c,styphimurium,STM3120,0.363
ccrescentus,CCNA_03774,styphimurium,STM3120,0.321
ccrescentus,CCNA_00650,saureus,narK,0.334
ccrescentus,CCNA_02431,saureus,SA2470,0.383
saureus,SA2470,styphimurium,hisD,0.344
ccrescentus,CCNA_01400,mtuberculosis,Rv2919c,0.642
ccrescentus,CCNA_03322,mtuberculosis,Rv2996c,0.401
mtuberculosis,Rv2996c,saureus,serA,0.367
abaylyi,ACIAD3203,styphimurium,rplR,0.56
ccrescentus,CCNA_01322,styphimurium,rplR,0.576
saureus,rplR,styphimurium,rplR,0.453
mpne,MPN181,styphimurium,rplR,0.394
abaylyi,ACIAD2568,styphimurium,blc,0.378
abaylyi,ACIAD0286,styphimurium,hemC,0.6
abaylyi,ACIAD0286,ccrescentus,CCNA_00070,0.458
abaylyi,ACIAD0286,mtuberculosis,Rv0510,0.394
abaylyi,ACIAD1547,ccrescentus,CCNA_01406,0.334
abaylyi,ACIAD2965,mtuberculosis,Rv1063c,0.371
mtuberculosis,Rv1563c,styphimurium,STM1559,0.36
abaylyi,ACIAD3067,mtuberculosis,Rv1882c,0.422
abaylyi,ACIAD1774,styphimurium,otsA,0.389
abaylyi,ACIAD3215,ccrescentus,CCNA_01310,0.615
ccrescentus,CCNA_01310,mtuberculosis,Rv0705,0.634
ccrescentus,CCNA_01310,mgenitalium,MG_155,0.574
ccrescentus,CCNA_01441,saureus,rpsI,0.516
ccrescentus,CCNA_01441,mtuberculosis,Rv3442c,0.495
abaylyi,ACIAD1487,styphimurium,STM2690,0.339
abaylyi,ACIAD1567,ccrescentus,CCNA_00301,0.5
abaylyi,ACIAD1567,mtuberculosis,Rv3761c,0.331
abaylyi,ACIAD2341,ccrescentus,CCNA_00104,0.344
abaylyi,ACIAD3528,ccrescentus,CCNA_01714,0.466
abaylyi,ACIAD3528,styphimurium,yffB,0.403
abaylyi,ACIAD3639,styphimurium,ygiE,0.394
mgenitalium,MG_305,saureus,dnaK,0.571
ccrescentus,CCNA_00010,mgenitalium,MG_305,0.547
abaylyi,ACIAD3654,mgenitalium,MG_305,0.522
mgenitalium,MG_396,mpne,D02_orf152,0.666
mgenitalium,MG_396,syn3a,JCVISYN3A_0800,0.432
mgenitalium,MG_396,saureus,lacB,0.342
ccrescentus,CCNA_01385,mtuberculosis,Rv1694,0.456
ccrescentus,CCNA_00994,mtuberculosis,Rv1279,0.414
saureus,SA0234,styphimurium,ybeK,0.46
abaylyi,ACIAD2386,saureus,SA0234,0.423
saureus,SA0420,styphimurium,abc,0.483
mtuberculosis,Rv3241c,saureus,SA0707,0.324
mtuberculosis,Rv1537,styphimurium,dinP,0.332
mtuberculosis,Rv1633,styphimurium,uvrB,0.572
mtuberculosis,Rv1633,syn3a,JCVISYN3A_0825,0.478
mtuberculosis,Rv1981c,saureus,nrdF,0.392
abaylyi,ACIAD1628,mtuberculosis,Rv0449c,0.331
mtuberculosis,Rv1007c,saureus,metS,0.432
mpne,MPN023,mtuberculosis,Rv1007c,0.32
mgenitalium,MG_021,mtuberculosis,Rv1007c,0.307
abaylyi,ACIAD1041,styphimurium,yeaM,0.305
abaylyi,ACIAD1115,styphimurium,lon,0.567
abaylyi,ACIAD1115,mgenitalium,MG_239,0.391
abaylyi,ACIAD1288,styphimurium,astB,0.605
abaylyi,ACIAD2516,mtuberculosis,Rv1323,0.426
abaylyi,ACIAD2641,styphimurium,ycfW,0.39
ccrescentus,CCNA_02007,styphimurium,ycfW,0.3
ccrescentus,CCNA_03068,styphimurium,gst,0.431
ccrescentus,CCNA_00871,mtuberculosis,Rv0480c,0.321
ccrescentus,CCNA_00903,styphimurium,rbsA,0.414
abaylyi,ACIAD0205,ccrescentus,CCNA_00903,0.326
ccrescentus,CCNA_00903,syn3a,JCVISYN3A_0010,0.304
mtuberculosis,Rv0700,styphimurium,rpsJ,0.63
ccrescentus,CCNA_01305,mtuberculosis,Rv0700,0.623
abaylyi,ACIAD3220,mtuberculosis,Rv0700,0.59
mtuberculosis,Rv0700,syn3a,JCVISYN3A_0672,0.564
mgenitalium,MG_150,mtuberculosis,Rv0700,0.439
mpne,MPN164,mtuberculosis,Rv0700,0.439
mtuberculosis,Rv1641,syn3a,JCVISYN3A_0200,0.361
abaylyi,ACIAD0782,styphimurium,proS,0.667
abaylyi,ACIAD0782,saureus,proS,0.457
abaylyi,ACIAD1299,styphimurium,speB,0.395
abaylyi,ACIAD0515,mgenitalium,MG_227,0.506
ccrescentus,CCNA_02208,mgenitalium,MG_227,0.491
mgenitalium,MG_351,syn3a,JCVISYN3A_0344,0.458
abaylyi,ACIAD0239,mgenitalium,MG_351,0.406
ccrescentus,CCNA_00045,mgenitalium,MG_351,0.377
mgenitalium,MG_351,styphimurium,ppa,0.38
mgenitalium,MG_450,mpne,MPN664,0.679
abaylyi,ACIAD2287,ccrescentus,CCNA_02704,0.551
abaylyi,ACIAD2287,saureus,SA1524,0.498
ccrescentus,CCNA_02294,styphimurium,argH,0.439
abaylyi,ACIAD1258,styphimurium,purA,0.637
mtuberculosis,Rv0357c,styphimurium,purA,0.508
abaylyi,ACIAD1691,mtuberculosis,Rv0687,0.333
abaylyi,ACIAD1691,saureus,SA2365,0.301
abaylyi,ACIAD1828,ccrescentus,CCNA_01892,0.416
abaylyi,ACIAD0565,ccrescentus,CCNA_01726,0.394
ccrescentus,CCNA_01726,mgenitalium,MG_329,0.361
abaylyi,ACIAD1977,mtuberculosis,Rv0243,0.655
mtuberculosis,Rv0524,styphimurium,hemL,0.509
ccrescentus,CCNA_03393,styphimurium,purE,0.66
mtuberculosis,Rv3275c,styphimurium,purE,0.543
abaylyi,ACIAD2275,styphimurium,lipA,0.584
ccrescentus,CCNA_01809,styphimurium,lipA,0.525
saureus,lipA,styphimurium,lipA,0.501
abaylyi,ACIAD1200,saureus,thiE,0.322
ccrescentus,CCNA_03373,saureus,thiE,0.304
abaylyi,ACIAD0687,ccrescentus,CCNA_01015,0.437
ccrescentus,CCNA_01015,mtuberculosis,Rv0846c,0.315
abaylyi,ACIAD2331,styphimurium,yoaE,0.579
ccrescentus,CCNA_00787,styphimurium,motA,0.387
mgenitalium,MG_290,mpne,MPN416,0.615
mgenitalium,MG_344,mpne,MPN519,0.679
mpne,MPN674,syn3a,JCVISYN3A_0475,0.485
mpne,MPN674,saureus,SA2395,0.429
styphimurium,trpS,syn3a,JCVISYN3A_0308,0.456
mtuberculosis,Rv3336c,syn3a,JCVISYN3A_0308,0.426
mgenitalium,MG_126,syn3a,JCVISYN3A_0308,0.421
mtuberculosis,Rv0091,saureus,pfs,0.305
mtuberculosis,Rv0438c,styphimurium,moeA,0.354
mtuberculosis,Rv0438c,saureus,moeA,0.322
abaylyi,ACIAD2897,syn3a,JCVISYN3A_0517,0.375
abaylyi,ACIAD2897,mtuberculosis,Rv1540,0.332
abaylyi,ACIAD3009,saureus,ksgA,0.324
abaylyi,ACIAD3009,mtuberculosis,Rv1010,0.37
abaylyi,ACIAD3223,ccrescentus,CCNA_00088,0.58
abaylyi,ACIAD3223,mtuberculosis,Rv2510c,0.45
ccrescentus,CCNA_03112,styphimurium,yfjD,0.372
mtuberculosis,Rv3011c,saureus,SA1716,0.479
mpne,MPN237,saureus,SA1716,0.329
mgenitalium,MG_099,saureus,SA1716,0.339
saureus,lacB,syn3a,JCVISYN3A_0800,0.367
mtuberculosis,Rv3462c,saureus,infA,0.698
abaylyi,ACIAD0472,saureus,infA,0.676
mgenitalium,MG_173,saureus,infA,0.485
mgenitalium,MG_053,mpne,MPN066,0.616
mgenitalium,MG_053,syn3a,JCVISYN3A_0733,0.331
mgenitalium,MG_177,saureus,rpoA,0.377
mgenitalium,MG_177,mtuberculosis,Rv3457c,0.387
ccrescentus,CCNA_01330,mgenitalium,MG_177,0.369
abaylyi,ACIAD3194,mgenitalium,MG_177,0.321
mgenitalium,MG_270,mpne,MPN389,0.758
mgenitalium,MG_270,saureus,SA0884,0.338
mgenitalium,MG_270,styphimurium,lplA,0.376
mgenitalium,MG_363,mpne,MPN540,0.894
abaylyi,ACIAD1865,ccrescentus,CCNA_02957,0.404
abaylyi,ACIAD2401,saureus,SA2345,0.434
abaylyi,ACIAD0079,mtuberculosis,Rv0334,0.619
abaylyi,ACIAD0253,styphimurium,pepA,0.581
abaylyi,ACIAD0253,mtuberculosis,Rv2213,0.399
abaylyi,ACIAD0253,saureus,ampA,0.378
abaylyi,ACIAD0253,mgenitalium,MG_391,0.359
abaylyi,ACIAD1737,styphimurium,accB,0.445
abaylyi,ACIAD1737,saureus,accB,0.356
abaylyi,ACIAD2011,styphimurium,thiM,0.397
abaylyi,ACIAD2011,saureus,thiM,0.333
abaylyi,ACIAD3231,styphimurium,tesB,0.444
abaylyi,ACIAD3601,styphimurium,ycgN,0.492
mpne,MPN245,syn3a,JCVISYN3A_0201,0.361
saureus,pdf1,syn3a,JCVISYN3A_0201,0.421
mgenitalium,MG_106,syn3a,JCVISYN3A_0201,0.357
saureus,SA1449,syn3a,JCVISYN3A_0387,0.479
styphimurium,trmU,syn3a,JCVISYN3A_0387,0.469
mpne,MPN422,syn3a,JCVISYN3A_0387,0.415
abaylyi,ACIAD1200,ccrescentus,CCNA_03373,0.383
ccrescentus,CCNA_03373,styphimurium,thiE,0.325
abaylyi,ACIAD1873,ccrescentus,CCNA_03533,0.36
abaylyi,ACIAD0752,ccrescentus,CCNA_01545,0.489
ccrescentus,CCNA_01970,styphimurium,tpiA,0.395
ccrescentus,CCNA_01970,saureus,tpi,0.41
ccrescentus,CCNA_01970,mpne,MPN629,0.36
ccrescentus,CCNA_01970,mgenitalium,MG_431,0.366
ccrescentus,CCNA_02033,mtuberculosis,Rv3145,0.333
abaylyi,ACIAD0730,ccrescentus,CCNA_02033,0.327
ccrescentus,CCNA_02420,styphimurium,exbD,0.454
abaylyi,ACIAD1411,mtuberculosis,Rv3252c,0.457
ccrescentus,CCNA_02247,mtuberculosis,Rv3602c,0.477
mtuberculosis,Rv3602c,styphimurium,panC,0.44
abaylyi,ACIAD3364,styphimurium,murF,0.409
ccrescentus,CCNA_02641,styphimurium,murF,0.342
abaylyi,ACIAD1376,styphimurium,dxr,0.489
mtuberculosis,Rv2870c,styphimurium,dxr,0.395
abaylyi,ACIAD0418,styphimurium,aroE,0.446
ccrescentus,CCNA_00003,styphimurium,aroE,0.349
abaylyi,ACIAD0119,styphimurium,stbA,0.378
mgenitalium,MG_060,mpne,MPN075,0.58
mgenitalium,MG_060,syn3a,JCVISYN3A_0114,0.321
mgenitalium,MG_186,mpne,MPN133,0.392
ccrescentus,CCNA_03853,styphimurium,hisF,0.455
abaylyi,ACIAD3404,styphimurium,hisF,0.42
ccrescentus,CCNA_00101,styphimurium,sun,0.363
ccrescentus,CCNA_00196,styphimurium,leuC,0.619
ccrescentus,CCNA_00520,mtuberculosis,Rv1017c,0.442
ccrescentus,CCNA_00520,mpne,MPN073,0.429
ccrescentus,CCNA_01647,styphimurium,bioF,0.399
ccrescentus,CCNA_01647,mtuberculosis,Rv1569,0.423
ccrescentus,CCNA_01975,styphimurium,trpD,0.466
ccrescentus,CCNA_01634,styphimurium,nhoA,0.385
mtuberculosis,Rv3566c,styphimurium,nhoA,0.347
ccrescentus,CCNA_00352,styphimurium,ygdQ,0.475
ccrescentus,CCNA_02583,mtuberculosis,Rv0788,0.516
ccrescentus,CCNA_01596,mtuberculosis,Rv0949,0.385
abaylyi,ACIAD0900,mtuberculosis,Rv0949,0.394
mtuberculosis,Rv0949,syn3a,JCVISYN3A_0695,0.314
mtuberculosis,Rv1293,saureus,lysA,0.415
abaylyi,ACIAD2660,mtuberculosis,Rv1293,0.308
ccrescentus,CCNA_03516,mtuberculosis,Rv1451,0.422
abaylyi,ACIAD3170,styphimurium,ynfM,0.391
abaylyi,ACIAD3172,styphimurium,ycgM,0.405
mtuberculosis,Rv2993c,styphimurium,ycgM,0.42
mtuberculosis,Rv0667,saureus,rpoB,0.562
ccrescentus,CCNA_00536,mtuberculosis,Rv0667,0.463
mtuberculosis,Rv0667,styphimurium,rpoB,0.454
mtuberculosis,Rv0667,syn3a,JCVISYN3A_0804,0.439
mpne,MPN516,mtuberculosis,Rv0667,0.373
abaylyi,ACIAD3324,mtuberculosis,Rv1389,0.388
ccrescentus,CCNA_01753,mtuberculosis,Rv1389,0.383
mtuberculosis,Rv1389,styphimurium,gmk,0.364
mpne,MPN246,mtuberculosis,Rv1389,0.382
abaylyi,ACIAD3652,saureus,grpE,0.393
mgenitalium,MG_187,mpne,MPN134,0.614
mgenitalium,MG_221,mpne,MPN314,0.815
mgenitalium,MG_221,syn3a,JCVISYN3A_0525,0.365
mgenitalium,MG_284,mpne,MPN403,0.763
mgenitalium,MG_346,styphimurium,yibK,0.406
abaylyi,ACIAD2933,mgenitalium,MG_346,0.393
mgenitalium,MG_407,mpne,MPN606,0.797
mgenitalium,MG_407,saureus,eno,0.523
mtuberculosis,Rv2856,saureus,SA2489,0.48
saureus,SA2489,styphimurium,nxiA,0.427
ccrescentus,CCNA_03870,saureus,gidB,0.327
mtuberculosis,Rv3859c,saureus,gltB,0.455
ccrescentus,CCNA_03722,saureus,gltB,0.398
saureus,pta,syn3a,JCVISYN3A_0229,0.428
mpne,MPN428,syn3a,JCVISYN3A_0229,0.395
saureus,lig,syn3a,JCVISYN3A_0690,0.443
mtuberculosis,Rv3014c,syn3a,JCVISYN3A_0690,0.355
ccrescentus,CCNA_00678,saureus,rplK,0.571
saureus,rplK,syn3a,JCVISYN3A_0810,0.482
mgenitalium,MG_081,saureus,rplK,0.442
saureus,nagB,syn3a,JCVISYN3A_0726,0.414
abaylyi,ACIAD3024,saureus,SA1374,0.358
ccrescentus,CCNA_00173,saureus,SA1374,0.354
saureus,SA1374,styphimurium,hofB,0.339
saureus,lysP,styphimurium,lysP,0.512
mtuberculosis,Rv1301,saureus,SA1918,0.342
abaylyi,ACIAD0870,styphimurium,fabD,0.504
ccrescentus,CCNA_01746,styphimurium,fabD,0.452
saureus,fabD,styphimurium,fabD,0.404
abaylyi,ACIAD1713,styphimurium,aroD,0.387
ccrescentus,CCNA_00016,styphimurium,moaE,0.478
ccrescentus,CCNA_00016,mtuberculosis,Rv0866,0.348
abaylyi,ACIAD1904,ccrescentus,CCNA_00016,0.308
ccrescentus,CCNA_03142,styphimurium,rpoD,0.496
abaylyi,ACIAD3058,ccrescentus,CCNA_00241,0.344
ccrescentus,CCNA_00241,saureus,ptsH,0.345
ccrescentus,CCNA_02437,styphimurium,ilvY,0.309
saureus,capO,styphimurium,wecC,0.423
abaylyi,ACIAD0308,saureus,rpoC,0.472
saureus,rpoC,syn3a,JCVISYN3A_0803,0.5
saureus,rpoC,styphimurium,rpoC,0.459
ccrescentus,CCNA_00537,saureus,rpoC,0.463
abaylyi,ACIAD1559,styphimurium,hpaR,0.382
abaylyi,ACIAD2967,ccrescentus,CCNA_03485,0.394
abaylyi,ACIAD2967,styphimurium,ybbK,0.384
abaylyi,ACIAD3075,styphimurium,gip,0.377
mgenitalium,MG_165,mpne,GT9_orf142,0.88
mpne,GT9_orf142,syn3a,JCVISYN3A_0657,0.484
mpne,GT9_orf142,mtuberculosis,Rv0718,0.461
ccrescentus,CCNA_01320,mpne,GT9_orf142,0.384
mpne,MPN517,mtuberculosis,Rv3054c,0.314
mtuberculosis,Rv0709,saureus,rpmC,0.62
mtuberculosis,Rv0709,styphimurium,rpmC,0.464
mtuberculosis,Rv2124c,styphimurium,metH,0.318
abaylyi,ACIAD1045,mtuberculosis,Rv2124c,0.316
ccrescentus,CCNA_00003,mtuberculosis,Rv2552c,0.335
abaylyi,ACIAD0418,mtuberculosis,Rv2552c,0.325
mtuberculosis,Rv2678c,saureus,hemE,0.439
abaylyi,ACIAD2474,mtuberculosis,Rv2678c,0.39
ccrescentus,CCNA_02247,styphimurium,panC,0.456
ccrescentus,CCNA_02849,styphimurium,ccmE,0.422
abaylyi,ACIAD2894,styphimurium,smpB,0.587
saureus,ssrP,styphimurium,smpB,0.474
styphimurium,smpB,syn3a,JCVISYN3A_0776,0.36
mpne,MPN_074,styphimurium,smpB,0.341
saureus,ctrA,styphimurium,pyrG,0.551
ccrescentus,CCNA_01791,styphimurium,pyrG,0.559
mtuberculosis,Rv1699,styphimurium,pyrG,0.529
abaylyi,ACIAD1483,styphimurium,yrbI,0.42
abaylyi,ACIAD1736,styphimurium,accC,0.635
